feature,pubchem_bit,permutation_importance_mean,permutation_importance_std
PubchemFP686,686,-0.0002507073772729185,0.00013182345482478858
PubchemFP658,658,-0.00026278051167638594,0.00037345809012107175
PubchemFP574,574,-0.0002629898013785326,0.0002368034781579058
PubchemFP475,475,-0.000267513972814537,0.0001130182229461425
PubchemFP452,452,-0.0002738506316472988,0.00029722250760656825
PubchemFP396,396,-0.00027842009170884194,0.00020206013849552026
PubchemFP388,388,-0.00028383487780995196,0.0002779404706464601
PubchemFP368,368,-0.00029012580911490503,0.0008148134235086126
PubchemFP447,447,-0.00029962421197999857,0.00024083716807564708
PubchemFP477,477,-0.0003027143076245187,0.0007107901132080339
PubchemFP352,352,-0.0003073424000094027,0.00042776976100165854
PubchemFP440,440,-0.0003093184722795628,0.0003397359333051182
PubchemFP115,115,-0.00032113756277216685,0.0006873649731342976
PubchemFP692,692,-0.0003463485747635997,0.00034847911589119834
PubchemFP800,800,-0.00035289061234757837,0.00038384598819545657
PubchemFP680,680,-0.0003567052853316932,0.0002328752835489834
PubchemFP734,734,-0.00037186556239068305,0.0014862568182936373
PubchemFP579,579,-0.00037916486537228347,0.0005874710733997114
PubchemFP637,637,-0.0003818773632622618,0.00022539780754705812
PubchemFP717,717,-0.00039893169957728737,0.0012839318818001443
PubchemFP467,467,-0.0004026701426632862,0.0003541660907505513
PubchemFP820,820,-0.0004086560039026077,0.0010824871932671198
PubchemFP702,702,-0.0004157605434209399,0.00041453765851762853
