feature,pubchem_bit,mean_abs_SHAP
PubchemFP434,434,0.00010497560204604716
PubchemFP740,740,0.00010133037087727315
PubchemFP510,510,0.00010128544071496995
PubchemFP803,803,9.674986678247478e-05
PubchemFP458,458,9.632560069799556e-05
PubchemFP370,370,9.368937607051168e-05
PubchemFP760,760,8.581203640920559e-05
PubchemFP17,17,8.223988840686821e-05
PubchemFP524,524,7.697480859683902e-05
PubchemFP371,371,7.20600520550263e-05
PubchemFP679,679,7.16075013464787e-05
PubchemFP767,767,6.988162054558691e-05
PubchemFP255,255,6.766422551869071e-05
PubchemFP618,618,6.650402032268296e-05
PubchemFP743,743,6.287305336298332e-05
PubchemFP490,490,6.287058690229804e-05
PubchemFP582,582,6.082532563322979e-05
PubchemFP260,260,6.060435138022485e-05
PubchemFP640,640,5.956061938387331e-05
PubchemFP861,861,5.479510701042059e-05
PubchemFP347,347,5.412522988148365e-05
PubchemFP384,384,5.180763491578221e-05
PubchemFP22,22,4.936683816630003e-05
PubchemFP648,648,4.560656439767411e-05
PubchemFP178,178,4.5126306601095046e-05
PubchemFP634,634,3.9258618040786296e-05
PubchemFP706,706,3.503036037477793e-05
PubchemFP595,595,3.3002084090489326e-05
PubchemFP584,584,3.221228381650687e-05
PubchemFP470,470,3.145279769849524e-05
PubchemFP157,157,3.134088486655962e-05
PubchemFP765,765,2.956281431960919e-05
PubchemFP355,355,2.9274526622902253e-05
PubchemFP754,754,2.8886482360527363e-05
PubchemFP160,160,2.7395826077315908e-05
PubchemFP570,570,2.6504696142043207e-05
PubchemFP446,446,2.6286306794543558e-05
PubchemFP159,159,2.474878512203462e-05
PubchemFP687,687,2.4185288118304564e-05
PubchemFP164,164,2.3693708096065254e-05
PubchemFP122,122,2.182594745365701e-05
PubchemFP336,336,2.1392345622568344e-05
PubchemFP587,587,1.8941697462187777e-05
PubchemFP66,66,1.747006441220049e-05
PubchemFP248,248,1.7081231741535115e-05
PubchemFP770,770,1.4482774876135753e-05
PubchemFP416,416,1.3700544349790384e-05
PubchemFP207,207,1.297283297096923e-05
PubchemFP11,11,7.677455945045822e-06
PubchemFP753,753,6.671294491028803e-06
PubchemFP741,741,6.658154500761932e-06
PubchemFP731,731,6.452876574332332e-06
PubchemFP39,39,3.618749585943456e-06
PubchemFP47,47,1.2727267376653554e-06
PubchemFP332,332,1.205966712094528e-06
PubchemFP840,840,5.535988758324018e-07
PubchemFP6,6,1.1210167005870304e-07
